Name,Faculty,Document,Year,Link Detail Title
Fitri Arnia,FT,Fast and robust identification methods for JPEG images with various compression ratios,2006,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:kzcrU_BdoSEC
Fitri Arnia,FT,Fast method for joint retrieval and identification of JPEG coded images based on DCT sign,2007,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:ZfRJV9d4-WMC
Fitri Arnia,FT,Improved thresholding method for enhancing Jawi binarization performance,2017,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:Ug5p-4gJ2f0C
Fitri Arnia,FT,Efficient content-based copy detection using signs of DCT coefficient,2009,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:tKAzc9rXhukC
Fitri Arnia,FT,Fast image identification methods for JPEG images with different compression ratios,2006,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:NJ774b8OgUMC
Fitri Arnia,FT,Features for cross spectral image matching: A survey,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:rmuvC79q63oC
Fitri Arnia,FT,Enhancement of Iris recognition system based on phase only correlation,2011,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:_Re3VWB3Y0AC
Fitri Arnia,FT,DCT sign-based similarity measure for JPEG image retrieval,2007,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:7T2F9Uy0os0C
Fitri Arnia,FT,Improvement of binarization performance by applying dct as pre-processing procedure,2014,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:XD-gHx7UXLsC
Fitri Arnia,FT,A review on recent progress in thermal imaging and deep learning approaches for breast cancer detection,2020,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:mNrWkgRL2YcC
Fitri Arnia,FT,A study of fine-tuning CNN models based on thermal imaging for breast cancer classification,2019,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:_5tno0g5mFcC
Fitri Arnia,FT,Real time textile defect detection using GLCM in DCT-based compressed images,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:URolC5Kub84C
Fitri Arnia,FT,A new adaptive thresholding technique for binarizing ancient document,2018,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:Ri6SYOTghG4C
Fitri Arnia,FT,Peningkatan Kualitas Citra Digital Menggunakan Metode Super Resolusi Pada Domain Spasial,2011,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:EYYDruWGBe4C
Fitri Arnia,FT,A database of printed Jawi character image,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:g3aElNc5_aQC
Fitri Arnia,FT,Noise characterization in ancient document images based on DCT coefficient distribution,2015,/citations?view_op=view_citation&hl=en&oe=ASCII&user=B9MJSLgAAAAJ&citation_for_view=B9MJSLgAAAAJ:Z5m8FVwuT1cC
